neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Raffles Place,Lau Pa Sat,www.yelp.com/biz/lau-pa-sat-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/kTO6YTLQCxxSqyvD_QMiOg/348s.jpg,4.5,3,Raffles Place,"['Singaporean', 'Chinese', 'Indian']",
Raffles Place,Jumbo Seafood,www.yelp.com/biz/jumbo-seafood-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/85hCRe6TJh0e670IadHemA/348s.jpg,4,188,Clarke Quay,['Seafood'],3.0
Raffles Place,The Black Swan,www.yelp.com/biz/the-black-swan-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/uwliV4Bhqt6gqJpflo3r_Q/348s.jpg,4,17,Raffles Place,"['Bars', 'Bistros']",4.0
Raffles Place,Jumbo Seafood,www.yelp.com/biz/jumbo-seafood-singapore-8?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PAc8bfqMnCnoxVAFhyzozQ/348s.jpg,4,10,Raffles Place,"['Seafood', 'Singaporean']",2.0
Raffles Place,Caffe Fernet,www.yelp.com/biz/caffe-fernet-singapura?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/qeL1PeaSQpiGC_YCnZQ_Ng/348s.jpg,4.5,4,Raffles Place,"['Italian', 'Cocktail Bars']",
Raffles Place,Chico Loco,www.yelp.com/biz/chico-loco-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xFnRW-g3WPn8O3iSvFeHLQ/348s.jpg,4.5,2,Tanjong Pagar,['Mexican'],
Raffles Place,Boomarang,www.yelp.com/biz/boomarang-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YknoRwiG8Ollv-9Kg5bKJg/348s.jpg,4,20,Boat Quay,"['Breakfast & Brunch', 'Bars', 'Australian']",2.0
Raffles Place,Wang Dae Bak Korean BBQ,www.yelp.com/biz/wang-dae-bak-korean-bbq-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xexRjOHLrqvAQLbHhDucow/348s.jpg,4,10,Tanjong Pagar,"['Korean', 'Barbeque']",1.0
Raffles Place,Il Fiore,www.yelp.com/biz/il-fiore-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/tNvseMPxo73M9n1k-F1c2A/348s.jpg,4,2,Raffles Place,['Italian'],2.0
Raffles Place,Vespetta Italian Gastro Bar,www.yelp.com/biz/vespetta-italian-gastro-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8-S8kjZcUHU9juDGdR0u8w/348s.jpg,5,2,Boat Quay,"['Italian', 'Bars']",
Raffles Place,Public House,www.yelp.com/biz/public-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/frBmFeq5hDDYTM7dQN83pg/348s.jpg,4.5,2,Boat Quay,"['Bars', 'Singaporean']",1.0
Raffles Place,NUDE Seafood,www.yelp.com/biz/nude-seafood-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/X6E9IY-pw-Y8jFrqI4xM7g/348s.jpg,4.5,4,Bayfront,['Seafood'],2.0
Raffles Place,Empress,www.yelp.com/biz/empress-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/A2F9UMexCGD_iQQe3ujWtQ/348s.jpg,4.5,10,City Hall,"['Chinese', 'Asian Fusion', 'Singaporean']",2.0
Raffles Place,The Landing Point - Fullerton Bay Hotel,www.yelp.com/biz/the-landing-point-fullerton-bay-hotel-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/q8ficZKR0GmzVohnGv0YmQ/348s.jpg,3.5,14,Raffles Place,"['Asian Fusion', 'Cocktail Bars']",2.0
Raffles Place,Zazz Pizza,www.yelp.com/biz/zazz-pizza-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PHa_JTKm-FlkJ46EtDApOw/348s.jpg,5,6,Raffles Place,"['Pizza', 'Italian']",
Raffles Place,Din Tai Fung,www.yelp.com/biz/din-tai-fung-singapore-10?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/h3y0_XZRgvkn9PI2g1kbeQ/348s.jpg,4,60,Bayfront,"['Shanghainese', 'Taiwanese', 'Dumplings']",2.0
Raffles Place,Hans Im Gluck,www.yelp.com/biz/hans-im-gluck-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/s-qhJjc8IYIcgPuqhdnxyA/348s.jpg,4,3,Raffles Place,"['German', 'Burgers', 'Cocktail Bars']",
