neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Seletar,Le Steak By Chef Amri,www.yelp.com/biz/le-steak-by-chef-amri-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4KMl7ra8OkvMg47MULw-Tw/348s.jpg,4,3,Yio Chu Kang,"['Halal', 'Steakhouses']",2.0
Seletar,Tong Shun,www.yelp.com/biz/tong-shun-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/e7mQM70Ko8J9x-y9x6fsnw/348s.jpg,5,1,Yio Chu Kang,"['Singaporean', 'Seafood', 'Noodles']",
Seletar,Wheeler’s Estate,www.yelp.com/biz/wheelers-estate-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/gV0Mty2f0Tf73XcXMTVe9w/348s.jpg,3,5,Seletar,"['Bistros', 'Breakfast & Brunch']",2.0
Seletar,Rakuichi Sushi,www.yelp.com/biz/rakuichi-sushi-seletar?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/T9oE7-piqHYeGX2dMBzcqg/348s.jpg,4,1,Yio Chu Kang,['Japanese'],2.0
Seletar,Soek Seng 1954,www.yelp.com/biz/soek-seng-1954-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QEOjzc9dvC8CO15kQJq7DQ/348s.jpg,3.5,6,Seletar,"['Cafes', 'Bikes']",2.0
Seletar,Pin Si,www.yelp.com/biz/pin-si-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Ma87QevBUP-F6ZASMpCjVA/348s.jpg,4.5,6,Yishun,['Chinese'],3.0
Seletar,Wildseed Café by The Summerhouse,www.yelp.com/biz/wildseed-caf%C3%A9-by-the-summerhouse-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4jHxLLmtZ4g5W01bIn17iA/348s.jpg,1.5,15,Seletar,['Cafes'],
Seletar,Sakura Charcoal Grilled & Shabu Shabu,www.yelp.com/biz/sakura-charcoal-grilled-and-shabu-shabu-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/kBWEnhX3mMB3k39ak3_c3g/348s.jpg,3.5,2,Seletar,['Japanese'],
Seletar,Master Crab Seafood Restaurant,www.yelp.com/biz/master-crab-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/evBD-Jz6GFS3wHTC8HgOHw/348s.jpg,3.5,2,Punggol,['Seafood'],1.0
Seletar,Young’s Bar & Resturant,www.yelp.com/biz/youngs-bar-and-resturant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/o1veoFta7RiD1R1NyQ074Q/348s.jpg,2,2,Seletar,"['Italian', 'Bars', 'Modern European']",
Seletar,Soi Thai Soi Nice,www.yelp.com/biz/soi-thai-soi-nice-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LYML2zRm1RweMX5f07UC7Q/348s.jpg,4,1,Sengkang,['Thai'],
Seletar,Taste of Thailand,www.yelp.com/biz/taste-of-thailand-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AdAKHqGM-4KjVQvvOyb51g/348s.jpg,4.5,4,Sembawang,['Thai'],
Seletar,JingLong Seafood Restaurant,www.yelp.com/biz/jinglong-seafood-restaurant-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FGTocBnbg3RwR_Zz9Q-mdw/348s.jpg,5,1,Punggol,['Seafood'],3.0
Seletar,Whisk & Paddle,www.yelp.com/biz/whisk-and-paddle-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/djIYvcg9jlzPn961P69jmA/348s.jpg,3,7,Punggol,['Cafes'],2.0
Seletar,Legend Kopitiam,www.yelp.com/biz/legend-kopitiam-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4X3yuUKRfslGoucJNxw61Q/348s.jpg,1,2,Sengkang,"['Bistros', 'Coffee & Tea', 'Chinese']",1.0
Seletar,Magic Wok,www.yelp.com/biz/magic-wok-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/tS14zfQI9oVObUcSRXi7hw/348s.jpg,4.5,3,Pasir Ris,['Singaporean'],
Seletar,Mr Teh Tarik Express,www.yelp.com/biz/mr-teh-tarik-express-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9Q43TWWbmDEj0SBmFKjhwg/348s.jpg,5,1,Seletar,['Cafes'],
Seletar,Mai Thai,www.yelp.com/biz/mai-thai-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/HpBUBsaORK_kNUS12JWrwg/348s.jpg,5,1,Yio Chu Kang,['Thai'],
Seletar,Orchid Live Seafood,www.yelp.com/biz/orchid-live-seafood-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/wQHiEVAwZpYcISrGCS4cZA/348s.jpg,4.5,4,Yio Chu Kang,['Seafood'],
Seletar,Olivia & Co,www.yelp.com/biz/olivia-and-co-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Yv1H_xLBmF9zwkf56L9qmQ/348s.jpg,4,1,Sengkang,"['Coffee & Tea', 'Patisserie/Cake Shop', 'Breakfast & Brunch']",
Seletar,218 Centre Hokkien Mee,www.yelp.com/biz/218-centre-hokkien-mee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Bwd667PcCW8rDn1XWXF7Sg/348s.jpg,4.5,2,Seletar,['Singaporean'],
Seletar,Citrus By The Pool,www.yelp.com/biz/citrus-by-the-pool-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/HqIEB1OUop1L3gyB55P8cw/348s.jpg,4,7,Woodlands,"['Desserts', 'Cafes', 'Asian Fusion']",1.0
Seletar,Pietro Ristorante Italiano,www.yelp.com/biz/pietro-ristorante-italiano-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/eLnM25jzZJ7BrI3DwOeQiw/348s.jpg,3,5,Yio Chu Kang,['Italian'],3.0
