neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Sixth Avenue,Top Seafood,www.yelp.com/biz/top-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/G7wLjvLGAGmqL3Y9h0UmXQ/348s.jpg,5,1,Sixth Avenue,['Seafood'],
Sixth Avenue,Bar Bar Black Sheep,www.yelp.com/biz/bar-bar-black-sheep-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/cDKS05MG2cMioy_Ld9vEQQ/348s.jpg,3,12,Sixth Avenue,"['Bars', 'Singaporean', 'Cafes']",2.0
Sixth Avenue,Le Rida,www.yelp.com/biz/le-rida-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AZ0inY2YAsa1g7tTmw7pzg/348s.jpg,4.5,3,Bukit Timah,"['Lebanese', 'French']",
Sixth Avenue,Hup Choon Eating House,www.yelp.com/biz/hup-choon-eating-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/r84_CPfgDAk8D5EJuGQMiA/348s.jpg,4.5,8,Bukit Timah,['Seafood'],1.0
Sixth Avenue,May’s Kopi Bar,www.yelp.com/biz/mays-kopi-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/D_DcvL7f1W8x4XLZwnQuBA/348s.jpg,4.5,2,Sixth Avenue,['Cafes'],
Sixth Avenue,Caruso,www.yelp.com/biz/caruso-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/u5nWPZkaoJGGpu6s6DcZKA/348s.jpg,4,3,Sixth Avenue,"['Italian', 'Pizza']",3.0
Sixth Avenue,Violet Oon’s Kitchen,www.yelp.com/biz/violet-oons-kitchen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6-cWlu6pJmBtuPmrh1YTsA/348s.jpg,4,27,Bukit Timah,"['Cafes', 'Breakfast & Brunch', 'Bistros']",2.0
Sixth Avenue,Chi Tze Char,www.yelp.com/biz/chi-tze-char-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7mNmOJ0YV23f8RcdLFtzJQ/348s.jpg,3.5,2,Sixth Avenue,['Chinese'],
Sixth Avenue,MEAT n’ CHILL,www.yelp.com/biz/meat-n-chill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/dUS-dxINFdI8-YT8lnmQiA/348s.jpg,3,7,Sixth Avenue,['Barbeque'],3.0
Sixth Avenue,Brazil Churrasco,www.yelp.com/biz/brazil-churrasco-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zX5uagqWFIUvcsgl1kc2Rw/348s.jpg,4.5,18,Sixth Avenue,['Brazilian'],2.0
Sixth Avenue,Bismillah Biryani,www.yelp.com/biz/bismillah-biryani-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-j2qKxaA_dBf0dvc9HTTdg/348s.jpg,5,1,Sixth Avenue,"['Indian', 'Cafes']",
Sixth Avenue,Kuro Kin Japanese Dining,www.yelp.com/biz/kuro-kin-japanese-dining-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LjucOWWTngeZq6l2-PiKzg/348s.jpg,4,6,Bukit Timah,['Japanese'],
Sixth Avenue,Casa Roma Ristorante Pizzeria,www.yelp.com/biz/casa-roma-ristorante-pizzeria-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/TkbWyRW9POZLKtve2c7AqA/348s.jpg,4,4,Bukit Timah,"['Italian', 'Wine Bars', 'Pizza']",2.0
Sixth Avenue,Keith Crackling Roast,www.yelp.com/biz/keith-crackling-roast-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Ma5f7xpp0LZ6wHaFhkss7Q/348s.jpg,4.5,3,Bukit Timah,"['Delicatessen', 'Food Stands']",1.0
Sixth Avenue,Kong Cafe,www.yelp.com/biz/kong-cafe-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3pXmMNGvxgdbIkm2eaVTNw/348s.jpg,4,2,Bukit Timah,"['Breakfast & Brunch', 'Cafes']",
Sixth Avenue,Living Cafe & Deli,www.yelp.com/biz/living-cafe-and-deli-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ABSpif_Xb1cxvPE0GEZ4eQ/348s.jpg,3.5,22,Bukit Timah,"['Live/Raw Food', 'Coffee & Tea', 'Vegetarian']",2.0
Sixth Avenue,Casuarina Curry,www.yelp.com/biz/casuarina-curry-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ZWYghpZ0Yr3MDadmHo95YA/348s.jpg,3.5,2,Sixth Avenue,['Indian'],
Sixth Avenue,Empress Road Food Centre,www.yelp.com/biz/empress-road-food-centre-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/_LGIze0JQV7Ccskfmh5GXQ/348s.jpg,3,3,Bukit Timah,['Indian'],1.0
