neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Somerset,Food Republic,www.yelp.com/biz/food-republic-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/gDu6ujrGrsIAqsa3WxD2IQ/348s.jpg,4,9,Somerset,['Food Court'],1.0
Somerset,Som Tam,www.yelp.com/biz/som-tam-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3_BMz3T8rd7Sv2kY7cAHmg/348s.jpg,4.5,3,Somerset,"['Thai', 'Asian Fusion']",2.0
Somerset,Porterhouse,www.yelp.com/biz/porterhouse-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2-_kMnSJHI7M1Qx6xMy4Ig/348s.jpg,3.5,7,Somerset,"['Bars', 'Steakhouses']",3.0
Somerset,Killiney Kopitiam,www.yelp.com/biz/killiney-kopitiam-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1iXwlxT7ESULYVh_YsKPOg/348s.jpg,4,49,Somerset,"['Breakfast & Brunch', 'Coffee & Tea']",1.0
Somerset,Song Fa Bak Kut Teh,www.yelp.com/biz/song-fa-bak-kut-teh-singapore-7?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GQVp7Nij0es9i0W0wPRSbw/348s.jpg,4.5,19,Orchard,"['Soup', 'Chinese']",1.0
Somerset,Tapas Club,www.yelp.com/biz/tapas-club-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/s-6zyOqSXNzUhENaXMcfbQ/348s.jpg,3.5,6,Somerset,"['Tapas/Small Plates', 'Spanish']",
Somerset,Singtel Comcentre Canteen,www.yelp.com/biz/singtel-comcentre-canteen-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-c7ho_YLSd08N51pQB7uGA/348s.jpg,4,1,Somerset,['Food Court'],1.0
Somerset,Dancing Crab,www.yelp.com/biz/dancing-crab-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/o-yFh4_9V8HBVMgGNApGsw/348s.jpg,4,6,Somerset,"['American (Traditional)', 'Seafood']",4.0
Somerset,JiBiru Craft Beer Bar,www.yelp.com/biz/jibiru-craft-beer-bar-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LG3PDOMKcwpg8AG9lSPRrA/348s.jpg,4,29,Somerset,"['Japanese', 'Bars']",3.0
Somerset,Daessiksin Korean BBQ,www.yelp.com/biz/daessiksin-korean-bbq-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/v9VQxfO6Qijn3k7IR_f5_w/348s.jpg,4,3,Somerset,['Barbeque'],
Somerset,Supply & Demand,www.yelp.com/biz/supply-and-demand-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/qGA4rQAw3u64N_TBq72lRg/348s.jpg,3.5,11,Somerset,"['Italian', 'Asian Fusion', 'Bars']",2.0
Somerset,Chatterbox,www.yelp.com/biz/chatterbox-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4R2QxKH2whBSnRpszuvQ8Q/348s.jpg,3.5,43,Somerset,['Asian Fusion'],3.0
Somerset,Ramen Keisuke Kani King,www.yelp.com/biz/ramen-keisuke-kani-king-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/xOUSpj0A1IhHgXJVSfQJ_w/348s.jpg,4,3,Somerset,['Ramen'],2.0
Somerset,Hokkaido Hakodate AJISAI,www.yelp.com/biz/hokkaido-hakodate-ajisai-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/XC96CGUAt_bV2iuHeSZ_3Q/348s.jpg,5,1,Somerset,['Ramen'],
Somerset,Hai Di Lao,www.yelp.com/biz/hai-di-lao-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/s8h1ULvqiuqcyOiWX2sW8A/348s.jpg,4.5,15,Somerset,['Hot Pot'],3.0
Somerset,Bedrock Bar & Grill,www.yelp.com/biz/bedrock-bar-and-grill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/N5J6ycRPMfxTQJX1nLJDiw/348s.jpg,3.5,24,Somerset,"['Steakhouses', 'Whiskey Bars', 'Cocktail Bars']",4.0
Somerset,Fook Kin,www.yelp.com/biz/fook-kin-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/VRf2iY2L6W1STjl3Z448tg/348s.jpg,4,4,Somerset,['Chinese'],
Somerset,Chir Chir,www.yelp.com/biz/chir-chir-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/o-GG3rlI4dmpRrchrynusQ/348s.jpg,4,21,Somerset,"['Chicken Wings', 'Korean', 'Chicken Shop']",2.0
Somerset,Blue Label,www.yelp.com/biz/blue-label-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AzV_tS-AK9rBEAoeLP4Mtg/348s.jpg,4,1,Somerset,"['Pizza', 'Wine Bars']",
Somerset,Coffee Smith,www.yelp.com/biz/coffee-smith-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/u64v_rnje3jxN4gt2P5JuQ/348s.jpg,4,2,Somerset,"['Coffee & Tea', 'Breakfast & Brunch', 'Waffles']",
Somerset,China Time Honored Brand,www.yelp.com/biz/china-time-honored-brand-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4Wo1VkVrSVMHaIcvHWFUBg/348s.jpg,5,1,Somerset,"['Noodles', 'Chinese']",
Somerset,Kaiware Japanese Restaurant,www.yelp.com/biz/kaiware-japanese-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/42VQ2c_DopCYBLOa9eLJmA/348s.jpg,4.5,4,Somerset,['Japanese'],2.0
Somerset,Food Village @ Takashimaya,www.yelp.com/biz/food-village-takashimaya-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/OaqxqlSwjMFMBuWCkkkaVw/348s.jpg,4,14,Orchard,['Food Court'],2.0
Somerset,Souper Tang,www.yelp.com/biz/souper-tang-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/IC4RdIIQFYkPMUtgXq-j0A/348s.jpg,4.5,2,Somerset,"['Soup', 'Chinese']",
Somerset,House of Rice Roll and Porridge,www.yelp.com/biz/house-of-rice-roll-and-porridge-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/47oLTYcpvr_WqMxY_XU9-A/348s.jpg,3.5,11,Somerset,['Chinese'],1.0
Somerset,Ippudo,www.yelp.com/biz/ippudo-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Yp2_mwZ79wLB8HeSmTJhEA/348s.jpg,4,80,Somerset,['Ramen'],2.0
Somerset,Yakinikutei Ao-Chan,www.yelp.com/biz/yakinikutei-ao-chan-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/HywO1IP-_ulbi2UnGU6JlA/348s.jpg,5,4,Orchard,['Japanese'],
Somerset,Din Tai Fung,www.yelp.com/biz/din-tai-fung-singapore-5?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fxsbP8mMJJSZdD1e9P6nFA/348s.jpg,4.5,133,Orchard,"['Taiwanese', 'Dim Sum', 'Dumplings']",2.0
Somerset,Fukuichi Japanese Dining,www.yelp.com/biz/fukuichi-japanese-dining-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/JBapqNSUHJo5zvQB_LIMMQ/348s.jpg,4,10,Somerset,['Japanese'],3.0
Somerset,Yayoiken Japanese Resturant,www.yelp.com/biz/yayoiken-japanese-resturant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Ay_6RHrft1BBAMCkMXm8nA/348s.jpg,4.5,3,Somerset,['Japanese'],1.0
Somerset,Morganfield’s,www.yelp.com/biz/morganfields-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/w8hsTi5ScWihggZIAZaVYw/348s.jpg,4,3,Somerset,"['American (Traditional)', 'Bars', 'Barbeque']",
Somerset,Kazu Sumiyaki,www.yelp.com/biz/kazu-sumiyaki-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0StYYmcJK4WtECLZYt4F0g/348s.jpg,4.5,18,Orchard,['Japanese'],3.0
Somerset,Nagomi,www.yelp.com/biz/nagomi-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Bt5-p-QILNv0AnRXcBrMLg/348s.jpg,5,2,Orchard,"['Japanese', 'Bars']",4.0
Somerset,Jew Kit,www.yelp.com/biz/jew-kit-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8L1Vi2QDHCpn4u2xIt4vTQ/348s.jpg,4,8,Somerset,['Chinese'],1.0
Somerset,Oriole Coffee + Bar,www.yelp.com/biz/oriole-coffee-bar-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/cu_btgbF_nme3-X4WM3PqA/348s.jpg,3.5,43,Somerset,"['Bars', 'Cafes']",2.0
Somerset,Luke’s Oyster Bar & Chop House,www.yelp.com/biz/lukes-oyster-bar-and-chop-house-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/q9HcZhucYV11_8mA9QTdLg/348s.jpg,4.5,13,Somerset,"['Steakhouses', 'Burgers', 'Bars']",4.0
Somerset,Rebel,www.yelp.com/biz/rebel-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/crA9NXIA4UKA8In2REa0PQ/348s.jpg,4.5,3,Somerset,"['Vietnamese', 'Vegan', 'Sandwiches']",
Somerset,49 Seats,www.yelp.com/biz/49-seats-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/mRjUO5OndGl1Mr94XVLavQ/348s.jpg,3.5,8,Orchard,"['Asian Fusion', 'Seafood']",2.0
Somerset,Medzs,www.yelp.com/biz/medzs-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/I0hmcTq5eMv3vaPwFlygtA/348s.jpg,3.5,14,Somerset,['Mediterranean'],3.0
Somerset,Nana Teh Tarik,www.yelp.com/biz/nana-teh-tarik-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-QSCr9DNXqWYnJFsFexvqw/348s.jpg,4.5,3,Somerset,['Halal'],1.0
Somerset,Hokkaido Ramen Santouka,www.yelp.com/biz/hokkaido-ramen-santouka-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/OMwe1DFAL5onX-DrCT404A/348s.jpg,4.5,58,Clarke Quay,['Ramen'],2.0
Somerset,Beast & Butterflies,www.yelp.com/biz/beast-and-butterflies-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/lqGImsd-mFmqI-PwLH6duA/348s.jpg,3.5,4,Robertson Quay,"['Asian Fusion', 'Bars']",2.0
Somerset,Warung M Nasir,www.yelp.com/biz/warung-m-nasir-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-yrswp94pl08rHdo878J6A/348s.jpg,3.5,11,Somerset,['Indonesian'],2.0
Somerset,The Curry Culture,www.yelp.com/biz/the-curry-culture-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/_jlg69ibYEFGGsGhnxBQcg/348s.jpg,4,27,Orchard,['Indian'],3.0
Somerset,The Other Room,www.yelp.com/biz/the-other-room-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Yu_GAI9-ABvUxGGOI74opQ/348s.jpg,4.5,15,Orchard,"['Tapas/Small Plates', 'Cocktail Bars']",2.0
