neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Tanjong Rhu,Forty Hands East Coast,www.yelp.com/biz/forty-hands-east-coast-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1OYL8OuFAspKZoCd0hHMrg/348s.jpg,4.5,2,Katong,['Cafes'],
Tanjong Rhu,Streets of London @ British Hainan,www.yelp.com/biz/streets-of-london-british-hainan-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Vvvez3MuUOiryDucmg3Chw/348s.jpg,4.5,5,Joo Chiat,['British'],2.0
Tanjong Rhu,The Tuckshop,www.yelp.com/biz/the-tuckshop-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/byzresXnEKNMsHzlOPUmRQ/348s.jpg,3.5,10,Geylang,"['Bars', 'Gastropubs']",2.0
Tanjong Rhu,Old Airport Road Food Centre,www.yelp.com/biz/old-airport-road-food-centre-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/RQ2oY9RFsCvqwPepyjnaZA/348s.jpg,4.5,65,Mountbatten,"['Hawker Centre', 'Food Court']",1.0
Tanjong Rhu,Little Vietnam Restaurant & Cafe,www.yelp.com/biz/little-vietnam-restaurant-and-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FUTn42NhHq7HaU6oA8B73w/348s.jpg,3.5,9,Geylang,['Vietnamese'],1.0
Tanjong Rhu,Jia Wei Chinese Restaurant,www.yelp.com/biz/jia-wei-chinese-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rmbrLPgoa4lDHdiyFdwYPg/348s.jpg,4,5,Marine Parade,"['Dim Sum', 'Cantonese']",
Tanjong Rhu,Wicked Grill,www.yelp.com/biz/wicked-grill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/qRZPGlbwamww9GkCrE9QIg/348s.jpg,3.5,4,Katong,"['Steakhouses', 'Beer Bar', 'Barbeque']",1.0
Tanjong Rhu,JB Ah Meng,www.yelp.com/biz/jb-ah-meng-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/R1O2t4Mlj2EXMCpGDpEe8Q/348s.jpg,4.5,21,Geylang,"['Chinese', 'Seafood']",2.0
Tanjong Rhu,Sin Huat Seafood Restaurant,www.yelp.com/biz/sin-huat-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MM9YUki7MlakPIJY-xpOdA/348s.jpg,4,11,Geylang,"['Seafood', 'Singaporean']",4.0
Tanjong Rhu,Oven & Fried Chicken OKKUDAK,www.yelp.com/biz/oven-and-fried-chicken-okkudak-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/VM3QnDv6EKoG5OeoO7y3sg/348s.jpg,4,1,Tanjong Rhu,['Korean'],2.0
Tanjong Rhu,Nan Xiang Chicken Rice,www.yelp.com/biz/nan-xiang-chicken-rice-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ghl54O8ATnH0Sz1EhyHeBA/348s.jpg,4,9,Katong,"['Chinese', 'Street Vendors']",1.0
Tanjong Rhu,Toast Hut,www.yelp.com/biz/toast-hut-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/DpKX4__VpAQVcRdTcPzVBQ/348s.jpg,3,1,Mountbatten,['Cafes'],
Tanjong Rhu,Joo Chiat Road,www.yelp.com/biz/joo-chiat-road-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UeG0Ql6-ueBgPN4SNLaJIQ/348s.jpg,5,3,Katong,"['Kitchen & Bath', 'Restaurants']",1.0
Tanjong Rhu,Ponggol Nasi Lemak,www.yelp.com/biz/ponggol-nasi-lemak-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/35R8_YvS2YY8RpSyk1mcUg/348s.jpg,4,13,Tanjong Rhu,['Singaporean'],1.0
Tanjong Rhu,Nanyang Old Taste,www.yelp.com/biz/nanyang-old-taste-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/N_witKz_D3M1647hXhRxhQ/348s.jpg,5,1,Geylang,['Singaporean'],
Tanjong Rhu,Trattoria L’Operetta,www.yelp.com/biz/trattoria-l-operetta-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9Xgpa0J4HnbUx6MywuZtYg/348s.jpg,3.5,9,Katong,"['Pizza', 'Italian']",3.0
Tanjong Rhu,The Tipsy Cow,www.yelp.com/biz/the-tipsy-cow-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/SQ3j1AoYUNtMMq7i6rRp4Q/348s.jpg,3.5,3,Katong,['Singaporean'],2.0
Tanjong Rhu,Danji,www.yelp.com/biz/danji-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/L8Vcw6hCNZzGuM05EfLREA/348s.jpg,5,1,Tanjong Rhu,['Korean'],
Tanjong Rhu,ChaoTa,www.yelp.com/biz/chaota-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/fgr751BK088IUM0BkO7DVw/348s.jpg,4,1,Tanjong Rhu,"['Tapas/Small Plates', 'Barbeque', 'Beer Bar']",
Tanjong Rhu,Xin Mei Xiang Lor Mee,www.yelp.com/biz/xin-mei-xiang-lor-mee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/SI-bjnrmCijBiKxVotQUqQ/348s.jpg,4.5,5,Mountbatten,['Chinese'],
Tanjong Rhu,Five Star Hainanese Chicken Rice,www.yelp.com/biz/five-star-hainanese-chicken-rice-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6v4NSQoEyRbvCHiKMzH7Ug/348s.jpg,4.5,23,Katong,"['Chicken Shop', 'Hainan']",2.0
Tanjong Rhu,旺角點心 Mongkok Dim Sum,www.yelp.com/biz/%E6%97%BA%E8%A7%92%E9%BB%9E%E5%BF%83-mongkok-dim-sum-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UmNo8niqt2PFYRmIRZmCoQ/348s.jpg,3.5,10,Geylang,['Dim Sum'],1.0
Tanjong Rhu,Goldhill Hakka Restaurant,www.yelp.com/biz/goldhill-hakka-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ay3ualRA0ksXMaG-Fljuyw/348s.jpg,5,5,,"['Hakka', 'Seafood']",
Tanjong Rhu,Long Phung Vietnamese Restaurant,www.yelp.com/biz/long-phung-vietnamese-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/HMIFwrf5kI7kT_K5u-6GWA/348s.jpg,3.5,28,Joo Chiat,['Vietnamese'],1.0
Tanjong Rhu,來姐家,www.yelp.com/biz/%E4%BE%86%E5%A7%90%E5%AE%B6-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/dM07ZCS4TlXS3twSklaJiQ/348s.jpg,5,1,Geylang,"['Szechuan', 'Imported Food']",
Tanjong Rhu,Don Lechon,www.yelp.com/biz/don-lechon-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/vC_H5zAqiLl_QlhxnZJG0Q/348s.jpg,5,1,Geylang,['Filipino'],
Tanjong Rhu,Penang Seafood Restaurant,www.yelp.com/biz/penang-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/n8F45PR_g6bxTL22eFZqPA/348s.jpg,4,12,Geylang,"['Malaysian', 'Seafood']",1.0
Tanjong Rhu,ParaThai,www.yelp.com/biz/parathai-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8i42UpbYeJ7ShfGJ6rEciQ/348s.jpg,4.5,3,Katong,['Thai'],
Tanjong Rhu,328 Katong Laksa,www.yelp.com/biz/328-katong-laksa-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/KZn7vR-8IEX67DyLjsZUpA/348s.jpg,4,87,Katong,['Singaporean'],1.0
Tanjong Rhu,Dong Ji Fried Kway Teow,www.yelp.com/biz/dong-ji-fried-kway-teow-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/x2zkVXyGYBCToU1OSRSYLA/348s.jpg,1,1,Mountbatten,['Singaporean'],
Tanjong Rhu,Chicken Claypot House,www.yelp.com/biz/chicken-claypot-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/yHMWbiHBnH8_vzcZH6X-Wg/348s.jpg,4.5,2,Geylang,['Chinese'],
