neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Telok Blangah,Old Habits,www.yelp.com/biz/old-habits-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/PpEWvE5J3LuDWYM4nXQCYQ/348s.jpg,5,4,Telok Blangah,['Cafes'],2.0
Telok Blangah,The Garden @ Sentosa,www.yelp.com/biz/the-garden-sentosa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/d5euGIO-qmW4f5XLNwwJdw/348s.jpg,5,2,Sentosa,['Modern European'],3.0
Telok Blangah,Singapore Seafood Republic,www.yelp.com/biz/singapore-seafood-republic-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ER69x0eLWvac0mMHHiFVCQ/348s.jpg,4,8,Sentosa,['Seafood'],4.0
Telok Blangah,Curate,www.yelp.com/biz/curate-southern-islands?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/b_EvIZc12DEBdQeSSU5RFg/348s.jpg,5,2,Sentosa,['Pop-Up Restaurants'],4.0
Telok Blangah,Marché,www.yelp.com/biz/march%C3%A9-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/8LL1YDXNfsovSqMvjoGGUQ/348s.jpg,4,20,Harbourfront,['Restaurants'],2.0
Telok Blangah,Mt Faber Steakhouse & Brewery,www.yelp.com/biz/mt-faber-steakhouse-and-brewery-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0HbhWnVONioOsxhqqgaJuA/348s.jpg,3,1,Telok Blangah,"['Sports Bars', 'Steakhouses', 'Breweries']",
Telok Blangah,The Cliff at Sentosa,www.yelp.com/biz/the-cliff-at-sentosa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/BUl2k-hcyJ66Q5wZh5GScQ/348s.jpg,4.5,4,Sentosa,['Modern European'],4.0
Telok Blangah,Faber Bistro,www.yelp.com/biz/faber-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0ESGG7QuHuq24_eC5-ylWw/348s.jpg,3.5,3,Telok Blangah,['Asian Fusion'],2.0
Telok Blangah,Barrio by Mex Out,www.yelp.com/biz/barrio-by-mex-out-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/82pS6M4wcf0YE7IOA4nLZg/348s.jpg,3.5,6,Harbourfront,['Mexican'],
Telok Blangah,Auntie Kim’s Korean Restaurant,www.yelp.com/biz/auntie-kims-korean-restaurant-singapore-3?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3-PM68eb7mczenjLESBkwg/348s.jpg,4,3,Alexandra,"['Korean', 'Barbeque']",2.0
Telok Blangah,The Naked Finn,www.yelp.com/biz/the-naked-finn-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ScSHvCNpbz7DI-_DsDDtaA/348s.jpg,4.5,19,Alexandra,['Seafood'],3.0
Telok Blangah,Wildseed Cafe,www.yelp.com/biz/wildseed-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QNjY1aQwm4TYhDaioD-EVQ/348s.jpg,4,1,Telok Blangah,"['Cafes', 'Bars', 'Juice Bars & Smoothies']",
Telok Blangah,Bornga,www.yelp.com/biz/bornga-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/g5-ZAdAb_GDHzdlA2wR1Kw/348s.jpg,4,11,Harbourfront,['Korean'],3.0
Telok Blangah,Three Peacocks,www.yelp.com/biz/three-peacocks-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1OnRWFGQvEYUl7XcNxCvqw/348s.jpg,3.5,4,Labrador Park,"['Bars', 'Seafood', 'Buffets']",
Telok Blangah,Brewerkz,www.yelp.com/biz/brewerkz-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/3uE4vFsrYTWvV8jSXWnjWQ/348s.jpg,4.5,4,,"['American (Traditional)', 'Beer Bar']",
