neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Tiong Bahru,The Butcher’s Wife,www.yelp.com/biz/the-butchers-wife-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LnKKyxbUPNeZ_H-aP5B_mw/348s.jpg,5,5,Tiong Bahru,['Gluten-Free'],
Tiong Bahru,Jian Bo Shui Kueh,www.yelp.com/biz/jian-bo-shui-kueh-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/HymSZkYCFScMsVaaHSHOwQ/348s.jpg,4.5,16,Tiong Bahru,"['Singaporean', 'Food Stands']",1.0
Tiong Bahru,Lee Tai Fu,www.yelp.com/biz/lee-tai-fu-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/34DskGKbEVrYxmfnHjc-qw/348s.jpg,5,1,Tiong Bahru,"['Bars', 'Diners']",
Tiong Bahru,Tian Tian Seafood Restaurant,www.yelp.com/biz/tian-tian-seafood-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/C8s14mmHuGmv1jdjM0u3Qw/348s.jpg,4.5,2,Tiong Bahru,"['Seafood', 'Chinese']",2.0
Tiong Bahru,Bakalaki Greek Taverna,www.yelp.com/biz/bakalaki-greek-taverna-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7PPJ1oXYRdtTtFw6ARoocA/348s.jpg,4.5,21,Tiong Bahru,"['Mediterranean', 'Greek']",4.0
Tiong Bahru,IKYU,www.yelp.com/biz/ikyu-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/oFZ8gIoraSnDHoGPS6YQPg/348s.jpg,4,20,Tiong Bahru,"['Japanese', 'Sushi Bars', 'French']",3.0
Tiong Bahru,Ya Hua Bak Kut Teh,www.yelp.com/biz/ya-hua-bak-kut-teh-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/WdmLxtGEiPOpnnLcUJg3dg/348s.jpg,4,11,Tiong Bahru,['Chinese'],2.0
Tiong Bahru,Por Kee Eating House,www.yelp.com/biz/por-kee-eating-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/2h-sZHLZc_8pA4wXl2ZqRw/348s.jpg,4,27,Tiong Bahru,['Chinese'],2.0
Tiong Bahru,Coq & Balls,www.yelp.com/biz/coq-and-balls-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/0WVdPQrfoWuqhPozaSJbLQ/348s.jpg,4,13,Tiong Bahru,"['Bars', 'Japanese', 'Asian Fusion']",3.0
Tiong Bahru,Bigmama,www.yelp.com/biz/bigmama-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/x_6IpfqziibbhTBu38J1nA/348s.jpg,4,17,Tiong Bahru,['Korean'],3.0
