neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Toa Payoh,Hong Sheng Restaurant,www.yelp.com/biz/hong-sheng-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/M7L6v0Lw5hH3SzSKsWzkcg/348s.jpg,4.5,2,Toa Payoh,['Chinese'],
Toa Payoh,Fatty Cheong @ Toa Payoh,www.yelp.com/biz/fatty-cheong-toa-payoh-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/tU4RTsANSRpQNEnX91v_nQ/348s.jpg,5,2,Toa Payoh,"['Meat Shops', 'Cantonese']",
Toa Payoh,Chef Kang’s Noodle House,www.yelp.com/biz/chef-kangs-noodle-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/MIkeD369-_xzMF_cbU0xfQ/348s.jpg,5,3,Toa Payoh,['Noodles'],
Toa Payoh,Su Korean BBQ,www.yelp.com/biz/su-korean-bbq-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ApsoXYnNdH2wMVSmhPwkbA/348s.jpg,4.5,2,Toa Payoh,"['Korean', 'Barbeque']",1.0
Toa Payoh,Bak Chor Mee Lorong 5 Toa Payoh,www.yelp.com/biz/bak-chor-mee-lorong-5-toa-payoh-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zOcyl4IvOm3sGZ4dvceD3Q/348s.jpg,5,1,Toa Payoh,['Food Court'],
Toa Payoh,Tims Restaurant & Cafe,www.yelp.com/biz/tims-restaurant-and-cafe-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/OMnR7KG1vMZRmDXJs5OaUg/348s.jpg,3.5,6,Toa Payoh,"['Steakhouses', 'Burgers', 'Himalayan/Nepalese']",2.0
Toa Payoh,White Restaurant,www.yelp.com/biz/white-restaurant-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7dLmUPVwaJ_1s-qRiMVqCQ/348s.jpg,4,2,Toa Payoh,['Singaporean'],2.0
Toa Payoh,Boyett’s Grill,www.yelp.com/biz/boyetts-grill-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/X5DsEz-zJ690_8hVoGv0LQ/348s.jpg,5,1,Toa Payoh,['Steakhouses'],
Toa Payoh,Penang Traditional Food,www.yelp.com/biz/penang-traditional-food-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/sWKI3tT5lJcVU9oScerLrw/348s.jpg,3,2,Toa Payoh,['Malaysian'],1.0
Toa Payoh,Kim Keat Hokkien Mee,www.yelp.com/biz/kim-keat-hokkien-mee-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/-CiCT2DV1ZtXeSNiIHM3tw/348s.jpg,4.5,4,Toa Payoh,['Asian Fusion'],1.0
Toa Payoh,KING OMAR Restaurant,www.yelp.com/biz/king-omar-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/I9H7k0TByZZ3wmJCxbYolw/348s.jpg,4,1,Toa Payoh,"['Halal', 'Indian']",
Toa Payoh,Big Bern’s American Grill,www.yelp.com/biz/big-berns-american-grill-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/usUuU-3WoDWYNC7cuBtS2w/348s.jpg,4.5,4,Toa Payoh,['American (Traditional)'],1.0
Toa Payoh,Lee Fun Nam Kee Chicken Rice & Restaurant,www.yelp.com/biz/lee-fun-nam-kee-chicken-rice-and-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/d6t_rdmmmi2ON_x5l7b9jQ/348s.jpg,4,8,Toa Payoh,"['Chinese', 'Chicken Shop']",1.0
Toa Payoh,Two Men Bagel House,www.yelp.com/biz/two-men-bagel-house-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/ZKdLDvsoEm8ePW9qj5fqaw/348s.jpg,5,21,Novena,"['Breakfast & Brunch', 'Bagels']",1.0
Toa Payoh,Tim Ho Wan,www.yelp.com/biz/tim-ho-wan-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/7UIl7bA8bSL9wBhiGvUS_A/348s.jpg,4,17,Toa Payoh,"['Dim Sum', 'Cantonese']",2.0
Toa Payoh,Chen Cai Eating House,www.yelp.com/biz/chen-cai-eating-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/jwtH-y8GbkTIZ3Qo_AQwsw/348s.jpg,4,1,Toa Payoh,"['Coffee & Tea', 'Chinese']",
Toa Payoh,The Hideout,www.yelp.com/biz/the-hideout-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6S_yIAlawYGiwB7Fo3fMKw/348s.jpg,4,1,Bishan,['Bistros'],
Toa Payoh,Wheeler’s Yard,www.yelp.com/biz/wheelers-yard-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FZbaNN2HiRKWqPxjP1tQXQ/348s.jpg,3.5,24,Novena,"['Cafes', 'Bikes']",2.0
Toa Payoh,Tian Wai Tian Fishhead Steamboat,www.yelp.com/biz/tian-wai-tian-fishhead-steamboat-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/h5fPc1E9AqtXD60cn5vVfw/348s.jpg,4,6,$,"['Chinese', 'Seafood']",
Toa Payoh,Swatow Seafood,www.yelp.com/biz/swatow-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/RMnPzrdTfoWs9U9DMt4hLQ/348s.jpg,3,12,12,"['Seafood', 'Dim Sum', 'Breakfast & Brunch']",2.0
Toa Payoh,Swatow Seafood,www.yelp.com/biz/swatow-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/RMnPzrdTfoWs9U9DMt4hLQ/348s.jpg,3,12,Toa Payoh,"['Seafood', 'Dim Sum', 'Breakfast & Brunch']",2.0
Toa Payoh,Uno Beef House,www.yelp.com/biz/uno-beef-house-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LOfOeIXaUXJpxgFHrIvNfQ/348s.jpg,4.5,3,Toa Payoh,"['Street Vendors', 'Convenience Stores', 'Food Stands']",1.0
Toa Payoh,Momiji Japanese Buffet Restaurant,www.yelp.com/biz/momiji-japanese-buffet-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/mHz_Ap6PNfRNGdYDfXh4kQ/348s.jpg,4,2,Novena,"['Japanese', 'Buffets']",
Toa Payoh,Café Etc.,www.yelp.com/biz/caf%C3%A9-etc-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6reflZatbCafjt0pU7e9Sw/348s.jpg,5,1,Thomson,"['Steakhouses', 'Bars']",
Toa Payoh,Il Piccolo,www.yelp.com/biz/il-piccolo-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/evkQJ6viNDdY5hdPKq7dKA/348s.jpg,4,1,Toa Payoh,"['Italian', 'Pizza']",2.0
