neighbourhood,name,href,img,star_rating,review_count,location,category,price_range
Yishun,Pin Si,www.yelp.com/biz/pin-si-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Ma87QevBUP-F6ZASMpCjVA/348s.jpg,4.5,6,Yishun,['Chinese'],3.0
Yishun,Taste of Thailand,www.yelp.com/biz/taste-of-thailand-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AdAKHqGM-4KjVQvvOyb51g/348s.jpg,4.5,4,Sembawang,['Thai'],
Yishun,Authentic Penang Food,www.yelp.com/biz/authentic-penang-food-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/ec91c6e75078/assets/img/default_avatars/business_medium_square.png,5,1,Yishun,['Malaysian'],
Yishun,Tasty Loong,www.yelp.com/biz/tasty-loong-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/f10Ja46XVLfuVxRztpg0gA/348s.jpg,5,1,Yishun,"['Chinese', 'Seafood', 'Singaporean']",
Yishun,Eatzi Steakhouse & Bistro,www.yelp.com/biz/eatzi-steakhouse-and-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/YatLikUdBDVauKyiWaMNrw/348s.jpg,4,2,Yishun,"['American (Traditional)', 'Halal', 'Bistros']",
Yishun,Beaulieu House,www.yelp.com/biz/beaulieu-house-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/AZxhadATzhNlajXQHThRgg/348s.jpg,4,6,Sembawang,['Chinese'],
Yishun,Orchid Live Seafood,www.yelp.com/biz/orchid-live-seafood-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9ahWopaWb8TOBL-OiFTvbg/348s.jpg,4.5,8,Yishun,['Seafood'],3.0
Yishun,Sunset Grill & Pub,www.yelp.com/biz/sunset-grill-and-pub-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/75CEsFFnf3yY3nLMDDrjTw/348s.jpg,3,5,Sembawang,['American (Traditional)'],2.0
Yishun,Flamingg Mangos,www.yelp.com/biz/flamingg-mangos-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/U0k4lQg5Q9-ICcbuFlnBiw/348s.jpg,3.5,2,Sembawang,['Cafes'],
Yishun,Canton Paradise,www.yelp.com/biz/canton-paradise-singapore-8?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/UDexhpk3sBQMQGkBiyL2Tg/348s.jpg,3.5,2,Yishun,"['Dim Sum', 'Cantonese']",
Yishun,Ban Leong Wah Hoe Seafood,www.yelp.com/biz/ban-leong-wah-hoe-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9rql-HVyYvMVJmQE8-2jJg/348s.jpg,4.5,7,Thomson,['Seafood'],2.0
Yishun,JingLong Seafood Restaurant,www.yelp.com/biz/jinglong-seafood-restaurant-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/FGTocBnbg3RwR_Zz9Q-mdw/348s.jpg,5,1,Punggol,['Seafood'],3.0
Yishun,You Huak Restaurant: Sembawang White Bee Hoon,www.yelp.com/biz/you-huak-restaurant-sembawang-white-bee-hoon-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rdfvUpZmK9IE8fLVnmzqoA/348s.jpg,4,19,Sembawang,['Chinese'],1.0
Yishun,Ah Meng Kue Teow,www.yelp.com/biz/ah-meng-kue-teow-johor-bahru?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/eg5qasTnk8c5_Xixp7c0Jw/348s.jpg,5,4,,"['Chinese', 'Noodles']",
Yishun,东小馆,www.yelp.com/biz/east-bistro-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Z3xevCvhhw-CS4WcsM9bUw/348s.jpg,3.5,3,Sembawang,['Dim Sum'],
Yishun,Hansik Korean Restaurant,www.yelp.com/biz/hansik-korean-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/Cg7LBeUc9NT-Caz84ogLEQ/348s.jpg,4,6,$$$,['Korean'],
Yishun,Sum’s Kitchen & Hong Kong Roasted Meat,www.yelp.com/biz/sums-kitchen-and-hong-kong-roasted-meat-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/9rv1ZY8vb_nK0_RgggVinQ/348s.jpg,4,1,1,['Chinese'],
Yishun,Happy Kampong Seafood,www.yelp.com/biz/happy-kampong-seafood-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/rFwdaSepImBU4bxO9Elw1w/348s.jpg,4.5,2,2,"['Chinese', 'Singaporean']",
Yishun,Romano Ristorante,www.yelp.com/biz/romano-ristorante-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/96VzelW-kCcFfte_K6Yijg/348s.jpg,4.5,2,2,['Italian'],
Yishun,Soi Thai Soi Nice,www.yelp.com/biz/soi-thai-soi-nice-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/LYML2zRm1RweMX5f07UC7Q/348s.jpg,4,1,1,['Thai'],
Yishun,iSteaks Grillhouse,www.yelp.com/biz/isteaks-grillhouse-singapore-2?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/GHw6_hFbhi1BKkxxvsvGEQ/348s.jpg,4,9,Serangoon Gardens,"['Steakhouses', 'Diners']",2.0
Yishun,Xian Seafood Village,www.yelp.com/biz/xian-seafood-village-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/4zq6eC9zJXf2nlBlTWl0Hw/348s.jpg,2,4,,"['Chinese', 'Seafood']",
Yishun,Goki Day Korean BBQ Buffet Restaurant,www.yelp.com/biz/goki-day-korean-bbq-buffet-restaurant-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/DwgcZazWVlpj33cFCLdeLQ/348s.jpg,4.5,2,Serangoon,"['Korean', 'Buffets']",2.0
Yishun,Soek Seng 1954,www.yelp.com/biz/soek-seng-1954-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QEOjzc9dvC8CO15kQJq7DQ/348s.jpg,3.5,6,Seletar,"['Cafes', 'Bikes']",2.0
Yishun,Orchid Live Seafood,www.yelp.com/biz/orchid-live-seafood-singapore-4?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/wQHiEVAwZpYcISrGCS4cZA/348s.jpg,4.5,4,Yio Chu Kang,['Seafood'],
Yishun,928 Yishun Laksa,www.yelp.com/biz/928-yishun-laksa-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/zLJUwf1bB7dAKk7ODk0O4Q/348s.jpg,4,5,Yishun,"['Street Vendors', 'Noodles']",1.0
Yishun,Carabao Restaurant,www.yelp.com/biz/carabao-restaurant-johor-bahru?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/1Fmp4WsvFa4fK1VeQO-WnQ/348s.jpg,5,1,,['Restaurants'],
Yishun,101 Seafood Gourmet,www.yelp.com/biz/101-seafood-gourmet-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/QpWS9LqzZSWYI-ethNyI7g/348s.jpg,4,1,Yishun,['Chinese'],
Yishun,Hong Kong Street Zheng Ji,www.yelp.com/biz/hong-kong-street-zheng-ji-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/nifoovE43JapE3dnpJH7pQ/348s.jpg,5,1,Ang Mo Kio,['Cantonese'],
Yishun,Tong Shun,www.yelp.com/biz/tong-shun-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/e7mQM70Ko8J9x-y9x6fsnw/348s.jpg,5,1,Yio Chu Kang,"['Singaporean', 'Seafood', 'Noodles']",
Yishun,Yureka Teppanyaki Restaurant,www.yelp.com/biz/yureka-teppanyaki-restaurant-no-title?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/6pNibxhQbAqQcEMr2Jy1Ew/348s.jpg,4,1,Yishun,['Japanese'],
Yishun,Dolphins,www.yelp.com/biz/dolphins-singapore?osq=Restaurants,https://s3-media0.fl.yelpcdn.com/bphoto/cyNrZFgJ7NnoJqa59HlzKQ/348s.jpg,4,2,Macpherson,['Restaurants'],2.0
