MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MoSold,SaleType,SalePrice,GarageAge,PropertyAge,RemodAge
60_20,FV_RL_RH,13517.0,1,3,Others,LowerQuan,Others,Norm,1Fam_TwnhsE,1Story_2Story,6,8,Others,CompShg,Others,Others,Others,289.0,4,3,Others,3,3,1,6,533.0,1,0.0,192.0,GasA_GasW,5,1,SBrkr,725.0,754.0,0.0,0,0,2,1,3,4,6,Typ,0,0,Attchd,2,2,3,3,1,0.0,44.0,0.0,0.0,0.0,0.0,0,3,Others,130500.0,34.0,34.0,29.0
60_20,FV_RL_RH,11492.0,1,3,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,7,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,132.0,4,3,PConc,4,3,1,6,637.0,1,0.0,276.0,GasA_GasW,5,1,SBrkr,913.0,1209.0,0.0,1,0,2,1,4,4,8,Typ,1,3,Attchd,2,2,3,3,1,0.0,74.0,0.0,0.0,0.0,0.0,0,4,Others,220000.0,12.0,13.0,1.0
60_20,FV_RL_RH,7922.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,5,7,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,3,4,Others,3,3,1,6,731.0,1,0.0,326.0,GasA_GasW,3,1,SBrkr,1057.0,0.0,0.0,1,0,1,0,3,4,5,Typ,0,0,Others,1,1,3,3,1,0.0,52.0,0.0,0.0,0.0,0.0,0,1,Others,109000.0,57.0,57.0,54.0
60_20,FV_RL_RH,9802.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,5,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,384.0,GasA_GasW,4,1,SBrkr,744.0,700.0,0.0,0,0,2,1,3,3,7,Typ,0,0,BuiltIn,3,2,3,3,1,100.0,0.0,0.0,0.0,0.0,0.0,0,4,Others,174000.0,3.0,4.0,1.0
Others,FV_RL_RH,14235.0,1,3,Others,Others,Norm,Norm,1Fam_TwnhsE,Others,6,8,Others,CompShg,Others,Others,Others,0.0,3,3,PConc,2,4,1,1,0.0,1,0.0,676.0,GasA_GasW,3,1,SBrkr,831.0,614.0,0.0,0,0,2,0,3,3,6,Typ,0,0,Others,1,2,3,3,0,0.0,59.0,0.0,0.0,0.0,0.0,0,3,Others,138500.0,53.0,110.0,93.0
60_20,FV_RL_RH,16492.0,1,3,Others,Others,PosA_PosN_RRNn,Norm,1Fam_TwnhsE,1Story_2Story,6,6,Others,CompShg,Others,Others,Others,0.0,4,3,Others,3,3,1,5,247.0,3,713.0,557.0,GasA_GasW,5,1,SBrkr,1888.0,0.0,0.0,0,0,2,1,2,4,6,Others,1,4,Attchd,3,2,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,6,Others,190000.0,44.0,44.0,36.0
Others,Others,3675.0,1,4,Others,LowerQuan,Norm,Norm,1Fam_TwnhsE,Others,6,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,82.0,3,3,PConc,4,3,4,6,547.0,1,0.0,0.0,GasA_GasW,4,1,SBrkr,1072.0,0.0,0.0,1,0,2,0,2,3,5,Typ,0,0,Others,3,2,3,3,1,0.0,44.0,0.0,0.0,0.0,0.0,0,6,New,140000.0,1.0,1.0,1.0
60_20,FV_RL_RH,12160.0,1,3,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,5,5,Hip,CompShg,Others,Others,Others,180.0,3,3,Others,3,3,1,3,1000.0,1,0.0,188.0,GasA_GasW,2,1,SBrkr,1188.0,0.0,0.0,1,0,1,0,3,3,6,Typ,0,0,Attchd,2,2,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5,Others,142000.0,51.0,51.0,0.0
60_20,FV_RL_RH,15783.0,1,4,Others,LowerQuan,Others,Norm,1Fam_TwnhsE,1Story_2Story,5,5,Others,CompShg,Others,Others,Others,0.0,3,3,Others,3,3,1,3,292.0,1,0.0,632.0,GasA_GasW,3,1,SBrkr,924.0,0.0,0.0,0,0,1,0,2,3,6,Typ,0,0,Others,1,1,3,3,1,0.0,324.0,0.0,0.0,0.0,0.0,0,6,Others,112500.0,55.0,55.0,0.0
60_20,FV_RL_RH,11606.0,1,3,HLS_Low,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,5,5,Others,CompShg,Others,Others,Others,192.0,3,3,PConc,4,3,3,3,650.0,1,0.0,390.0,GasA_GasW,3,1,SBrkr,1040.0,1040.0,0.0,0,1,1,2,5,2,9,Typ,2,3,Attchd,1,2,3,3,1,335.0,0.0,0.0,0.0,0.0,0.0,0,9,Others,135000.0,38.0,38.0,0.0
